Hospital Id,Hospital Name,State,District,Hospital Contact,Current Specialities,Hospital Type,Empanelment Type,OnBoarded For Convergence Scheme
HOSP7P207616,PUSHPANJALI HOSPITAL,NCT OF Delhi,WEST DELHI,9873201623,"CP, MC, MG, MP, OC, SB, SG, SL, SM, SO, SS, SU",Private(For Profit),Only CGHS,Yes
HOSP7P208326,ELANTIS HEALTHCARE,NCT OF Delhi,SOUTH EAST DELHI,9711681986,"CP, MG, MN, MP, OC, SB, SG, SO, SP, SS, SU",Private(For Profit),Only CGHS,No
HOSP7P208821,Tulsi Multispeciality Hospital,NCT OF Delhi,EAST DELHI,9599214926,"BM, CP, MG, MN, MP, OC, SB, SE, SG, SN, SO, SS, SU",Private(For Profit),Only CGHS,Yes
HOSP7P209015,RE ON AYURVEDA,NCT OF Delhi,WEST DELHI,9953059504,CP,,Only CGHS,No
HOSP7P209084,Medis Hospital,NCT OF Delhi,SHAHDARA,9999621232,"CP, MG, OC, SB, SG, SL, SO, SP",Private(Not For Profit),Only CGHS,No
HOSP7P209142,SHRI RAM HOSPITAL ,NCT OF Delhi,WEST DELHI,7840029192,"CP, MC, MG, MP, OC, SB, SE, SG, SL, SM, SN, SO, SP, SU",Private(For Profit),Only CGHS,Yes
HOSP7P209458,VIVA VISION,NCT OF Delhi,SOUTH DELHI,9711559558,S3,Private(Not For Profit),PMJAY,No
HOSP7P209528,nexus Superspeciality Dental and Implant centre,NCT OF Delhi,NORTH EAST DELHI,9953315595,SM,,Only CGHS,No
HOSP7P209578,DR. GOYALS DENTAL & ORTHOPAEDIC CENTRE,NCT OF Delhi,WEST DELHI,9013017180,SM,,Only CGHS,No
HOSP7P209678,J. K. Dental Clinic ,NCT OF Delhi,WEST DELHI,9891069889,SM,Private(For Profit),Only CGHS,No
HOSP7P209698,Kamakhya Dental And Implant Centre,NCT OF Delhi,SOUTH DELHI,9990647693,SM,Private(For Profit),Only CGHS,No
HOSP7P209715,THE DREAM SMILE DENTAL CLINIC,NCT OF Delhi,SOUTH DELHI,8448271856,"CP, OC, SM",Private(For Profit),Only CGHS,No
HOSP7P209720,SMRITI RAJ DENTISTRY PVT LTD,NCT OF Delhi,SOUTH WEST DELHI,8527275521,SM,,Only CGHS,No
HOSP7P209744,MG HOSPITAL,NCT OF Delhi,SOUTH DELHI,9999847796,SE,Private(For Profit),Only CGHS,Yes
HOSP7P209796,Teerthanker Aadinath Bright Dental Care,NCT OF Delhi,SOUTH DELHI,7351114255,SM,,Only CGHS,No
HOSP7P209810,DEV IMAGING & PATH LAB,NCT OF Delhi,NORTH WEST DELHI,8700200796,-NA-,Private(For Profit),Only CGHS,No
HOSP7P209816,DENTAL SMILES,NCT OF Delhi,WEST DELHI,9911612089,SM,,Only CGHS,No
HOSP7P209851,Delhi MRI Scan A UNIT OF SAHYOG IMAGING COMPANY,NCT OF Delhi,SOUTH DELHI,9873494949,-NA-,Private(Not For Profit),Only CGHS,No
HOSP7P209859,IM DENTIST,NCT OF Delhi,NORTH WEST DELHI,9990143477,SM,Private(For Profit),Only CGHS,No
HOSP7P209875,Pulp Dental Clinic,NCT OF Delhi,SOUTH DELHI,7428814666,SM,Private(For Profit),Only CGHS,Yes
HOSP7P209876,White Oak Dental,NCT OF Delhi,CENTRAL DELHI,6206313814,SM,Private(For Profit),Only CGHS,No
HOSP7P209879,Eye Mantra Hospital Private Limited,NCT OF Delhi,WEST DELHI,8882907911,SE,Private(For Profit),Only CGHS,No
HOSP7P209886,Apollo Clinic A Unit of RKM Enterprises,NCT OF Delhi,NORTH WEST DELHI,8287663284,SM,,Only CGHS,No
HOSP7P209903,DENTINOVA DENTAL CARE CENTRE,NCT OF Delhi,NEW DELHI,9899593596,SM,,Only CGHS,No
HOSP7P209908,COSMOS IMAGING CENTRE,NCT OF Delhi,CENTRAL DELHI,7006460050,SM,,Only CGHS,Yes
HOSP7P209924,rohini dental clinic and orthodontic center,NCT OF Delhi,NORTH WEST DELHI,8755598636,OC,,Only CGHS,No
HOSP7P209945,Dentalcare Plus Implant and Orthodontic Centre,NCT OF Delhi,EAST DELHI,8586865936,SM,Private(For Profit),Only CGHS,No
HOSP7P210015,SYNERGY EYE CARE,NCT OF Delhi,SOUTH DELHI,9266662118,SE,Private(For Profit),Only CGHS,No
HOSP7P210037,Smile Castle Dental Clinic,NCT OF Delhi,SOUTH EAST DELHI,8757676538,SM,,Only CGHS,No
HOSP7P210078,Tulsi Dental and Implant Centre,NCT OF Delhi,NORTH WEST DELHI,9136175478,SM,Private(Not For Profit),Only CGHS,No
HOSP7P210174,SARVODAYA IMAGING CENTRE,NCT OF Delhi,SOUTH DELHI,8376908350,-NA-,Private(For Profit),Only CGHS,Yes
HOSP7P210780,SAKSHAM IMAGING AND DIAGNOTICS PVT LTD,NCT OF Delhi,SOUTH DELHI,9810751726,-NA-,Private(Not For Profit),Only CGHS,No
HOSP7P210784,365 DENTISTRY,NCT OF Delhi,SOUTH EAST DELHI,9910740795,SM,Private(For Profit),Only CGHS,No
HOSP7P210803,BALAJI DENTAL AND IMPLANT CENTRE ,NCT OF Delhi,SOUTH WEST DELHI,8178813235,SM,,Only CGHS,No
HOSP7P210807,SRIVASTAVA MRI AND IMAGING CENTRE,NCT OF Delhi,SOUTH EAST DELHI,9818903574,-NA-,Private(For Profit),Only CGHS,No
HOSP7P210818,NARAYANA NETHRADHAMA,NCT OF Delhi,SOUTH WEST DELHI,9891914900,SE,Private(For Profit),Only CGHS,No
